lat,lon,cdi_value,cdi_class,severity,date
18.875,77.125,-0.074944,None,0,2024-08-21
18.875,77.375,-0.42751,None,0,2024-08-21
18.875,77.625,0.37602,None,0,2024-08-21
18.875,77.875,0.70506,None,0,2024-08-21
19.125,74.625,0.95316,None,0,2024-08-21
19.125,74.875,2.1164,None,0,2024-08-21
19.125,75.125,0.77665,None,0,2024-08-21
19.125,75.375,-0.31044,None,0,2024-08-21
19.125,75.625,-0.31435,None,0,2024-08-21
19.125,75.875,0.26994,None,0,2024-08-21
19.125,76.125,0.38315,None,0,2024-08-21
19.125,76.375,-0.067584,None,0,2024-08-21
19.125,76.625,-0.16443,None,0,2024-08-21
19.125,76.875,-0.82573,D1,2,2024-08-21
19.125,77.125,0.11239,None,0,2024-08-21
19.125,77.375,-0.33429,None,0,2024-08-21
19.125,77.625,-0.25297,None,0,2024-08-21
19.125,77.875,0.24642,None,0,2024-08-21
19.375,74.625,0.89736,None,0,2024-08-21
19.375,74.875,1.1317,None,0,2024-08-21
19.375,75.125,-0.099826,None,0,2024-08-21
19.375,75.375,-0.49247,None,0,2024-08-21
19.375,75.625,-0.43305,None,0,2024-08-21
19.375,75.875,0.053133,None,0,2024-08-21
19.375,76.125,0.18052,None,0,2024-08-21
19.375,76.375,-0.1347,None,0,2024-08-21
19.375,76.625,-0.87003,D1,2,2024-08-21
19.375,76.875,-1.0829,D1,2,2024-08-21
19.375,77.125,-0.58171,D0,1,2024-08-21
19.375,77.375,-0.42189,None,0,2024-08-21
19.375,77.625,-0.52608,D0,1,2024-08-21
19.375,77.875,0.24585,None,0,2024-08-21
19.625,74.625,0.67728,None,0,2024-08-21
19.625,74.875,0.52504,None,0,2024-08-21
19.625,75.125,-0.18358,None,0,2024-08-21
19.625,75.375,-0.66541,D0,1,2024-08-21
19.625,75.625,-0.56733,D0,1,2024-08-21
19.625,75.875,0.21895,None,0,2024-08-21
19.625,76.125,0.072845,None,0,2024-08-21
19.625,76.375,-0.46541,None,0,2024-08-21
19.625,76.625,-1.3177,D2,3,2024-08-21
19.625,76.875,-1.0963,D1,2,2024-08-21
19.625,77.125,-0.84008,D1,2,2024-08-21
19.625,77.375,-0.1444,None,0,2024-08-21
19.625,77.625,-0.24815,None,0,2024-08-21
19.625,77.875,0.2574,None,0,2024-08-21
19.875,74.625,0.02749,None,0,2024-08-21
19.875,74.875,-0.31498,None,0,2024-08-21
19.875,75.125,-0.78636,D1,2,2024-08-21
19.875,75.375,-0.58596,D0,1,2024-08-21
19.875,75.625,-0.068247,None,0,2024-08-21
19.875,75.875,0.15134,None,0,2024-08-21
19.875,76.125,-0.047668,None,0,2024-08-21
19.875,76.375,-0.16498,None,0,2024-08-21
19.875,76.625,-0.29758,None,0,2024-08-21
19.875,76.875,0.20099,None,0,2024-08-21
19.875,77.125,0.21892,None,0,2024-08-21
19.875,77.375,0.41419,None,0,2024-08-21
19.875,77.625,1.1049,None,0,2024-08-21
19.875,77.875,0.41346,None,0,2024-08-21
20.125,74.625,0.096432,None,0,2024-08-21
20.125,74.875,-0.20888,None,0,2024-08-21
20.125,75.125,-0.72424,D1,2,2024-08-21
20.125,75.375,-0.30889,None,0,2024-08-21
